                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0148,                  3.976,                 1.2501,                0.00167,                      1,                0.04738,                0.02457,                 1.1886,                 4.3817,                 1.5841,                      0,                      0,                      0
                      2,                 1.4641,                 4.8992,                 1.7081,                0.00167,                      1,                0.05853,                0.03002,                 1.1524,                  4.248,                 1.5019,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.93626,                 3.8555,                 1.2299,                0.00167,                      1,                0.06219,                0.03204,                 1.1126,                 4.1598,                 1.4163,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.3659,                   4.01,                 1.5209,                0.00167,                      1,                0.07107,                0.03733,                 1.0701,                  4.113,                 1.3927,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.2051,                 4.1439,                 1.5742,                0.00167,                      1,                0.05528,                0.03407,                 1.0291,                 4.1175,                 1.3493,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.90718,                 3.4257,                 1.2186,                0.00167,                      1,                0.03431,                0.02161,                0.98883,                 4.1288,                 1.3202,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.3919,                 7.9387,                 1.8711,                0.00167,                      1,                0.24875,                0.08611,                0.66762,                 3.7393,                 1.0094,             0.00011287,             0.00011287,             0.00011287
                      8,                0.95739,                 3.1813,                 1.1674,                0.00167,                      1,                  0.995,                 0.4975,                0.78151,                 3.8284,                0.98318,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.0412,                 3.4041,                 1.3149,                0.00167,                      1,                  0.995,                0.44775,                0.99713,                 3.8425,                 1.0321,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.1907,                 3.2683,                 1.4435,                0.00167,                      1,                  0.995,                0.44775,                 0.9811,                 3.8253,                 1.0163,             0.00016396,             0.00016396,             0.00016396
                     11,                0.92387,                 3.0574,                 1.3133,                0.00167,                      1,                  0.995,                  0.796,                 1.0013,                 3.8349,                0.94664,              0.0001802,              0.0001802,              0.0001802
                     12,                0.66085,                 2.7317,                 1.1337,                0.00167,                      1,                  0.995,                  0.796,                0.95303,                 3.6818,                 1.1502,             0.00019604,             0.00019604,             0.00019604
                     13,                0.79312,                 2.2363,                 1.2209,                0.00167,                      1,                  0.995,                 0.6169,                 1.1429,                 3.8497,                 2.0289,             0.00021149,             0.00021149,             0.00021149
                     14,                0.74582,                 1.8817,                 1.2002,                0.00167,                      1,                  0.995,                 0.4179,                 1.4199,                 4.0131,                 2.9308,             0.00022654,             0.00022654,             0.00022654
                     15,                0.73509,                 2.2897,                 1.0284,                0.00167,                      1,                  0.995,                0.66333,                 0.7216,                 3.8411,                 1.1847,             0.00024119,             0.00024119,             0.00024119
                     16,                0.97359,                 2.5872,                  1.215,                0.00167,                      1,                  0.995,                0.64675,                0.87004,                 3.7981,                 1.1109,             0.00025545,             0.00025545,             0.00025545
                     17,                 0.7008,                 1.9359,                 1.0452,                0.00167,                      1,                  0.995,                 0.6965,                0.91422,                 3.6475,                 1.0839,             0.00026931,             0.00026931,             0.00026931
